#name	freq	kmpr	ikmpr	df	doodson1	doodson2	doodson3	doodson4	doodson5	doodson6	semi	isat	nsat	ishallow	nshallow	doodsonamp	doodsonspecies
Z0  	0.000000	M2  	48.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NaN	NaN	NaN	NaN	NaN	NaN
SA  	0.000114	SSA 	3.000000	0.000114	0.000000	0.000000	1.000000	0.000000	0.000000	-1.000000	0.000000	NaN	NaN	NaN	NaN	0.011600	0.000000
SSA 	0.000228	Z0  	1.000000	0.000228	0.000000	0.000000	2.000000	0.000000	0.000000	0.000000	0.000000	NaN	NaN	NaN	NaN	0.072990	0.000000
MSM 	0.001310	MM  	5.000000	0.000202	0.000000	1.000000	-2.000000	1.000000	0.000000	0.000000	0.000000	NaN	NaN	NaN	NaN	NaN	NaN
MM  	0.001512	MSF 	6.000000	0.001310	0.000000	1.000000	0.000000	-1.000000	0.000000	0.000000	0.000000	NaN	NaN	NaN	NaN	0.082540	0.000000
MSF 	0.002822	Z0  	1.000000	0.002822	0.000000	2.000000	-2.000000	0.000000	0.000000	0.000000	0.000000	NaN	NaN	NaN	NaN	0.013760	0.000000
MF  	0.003050	MSF 	6.000000	0.000228	0.000000	2.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NaN	NaN	NaN	NaN	0.156420	0.000000
ALP1	0.034397	2Q1 	9.000000	0.001310	1.000000	-4.000000	2.000000	1.000000	0.000000	0.000000	-0.250000	1.000000	2.000000	NaN	NaN	0.002780	-1.000000
2Q1 	0.035706	Q1  	11.000000	0.001512	1.000000	-3.000000	0.000000	2.000000	0.000000	0.000000	-0.250000	3.000000	5.000000	NaN	NaN	0.009550	-1.000000
SIG1	0.035909	2Q1 	9.000000	0.000202	1.000000	-3.000000	2.000000	0.000000	0.000000	0.000000	-0.250000	8.000000	4.000000	NaN	NaN	0.011530	-1.000000
Q1  	0.037219	O1  	13.000000	0.001512	1.000000	-2.000000	0.000000	1.000000	0.000000	0.000000	-0.250000	12.000000	10.000000	NaN	NaN	0.072160	-1.000000
RHO1	0.037421	Q1  	11.000000	0.000202	1.000000	-2.000000	2.000000	-1.000000	0.000000	0.000000	-0.250000	22.000000	5.000000	NaN	NaN	0.013710	-1.000000
O1  	0.038731	K1  	21.000000	0.003050	1.000000	-1.000000	0.000000	0.000000	0.000000	0.000000	-0.250000	27.000000	8.000000	NaN	NaN	0.376890	-1.000000
TAU1	0.038959	O1  	13.000000	0.000228	1.000000	-1.000000	2.000000	0.000000	0.000000	0.000000	-0.750000	35.000000	5.000000	NaN	NaN	-0.004910	-1.000000
BET1	0.040040	NO1 	16.000000	0.000228	1.000000	0.000000	-2.000000	1.000000	0.000000	0.000000	-0.750000	40.000000	1.000000	NaN	NaN	-0.002780	-1.000000
NO1 	0.040269	K1  	21.000000	0.001512	1.000000	0.000000	0.000000	1.000000	0.000000	0.000000	-0.750000	41.000000	9.000000	NaN	NaN	-0.029640	-1.000000
CHI1	0.040471	NO1 	16.000000	0.000202	1.000000	0.000000	2.000000	-1.000000	0.000000	0.000000	-0.750000	50.000000	2.000000	NaN	NaN	-0.005660	-1.000000
PI1 	0.041439	P1  	19.000000	0.000114	1.000000	1.000000	-3.000000	0.000000	0.000000	1.000000	-0.250000	52.000000	1.000000	NaN	NaN	0.010290	-1.000000
P1  	0.041553	K1  	21.000000	0.000228	1.000000	1.000000	-2.000000	0.000000	0.000000	0.000000	-0.250000	53.000000	6.000000	NaN	NaN	0.175840	-1.000000
S1  	0.041667	K1  	21.000000	0.000114	1.000000	1.000000	-1.000000	0.000000	0.000000	1.000000	-0.750000	59.000000	2.000000	NaN	NaN	-0.004230	-1.000000
K1  	0.041781	Z0  	1.000000	0.041781	1.000000	1.000000	0.000000	0.000000	0.000000	0.000000	-0.750000	61.000000	10.000000	NaN	NaN	-0.530500	-1.000000
PSI1	0.041895	K1  	21.000000	0.000114	1.000000	1.000000	1.000000	0.000000	0.000000	-1.000000	-0.750000	71.000000	1.000000	NaN	NaN	-0.004230	-1.000000
PHI1	0.042009	K1  	21.000000	0.000228	1.000000	1.000000	2.000000	0.000000	0.000000	0.000000	-0.750000	72.000000	5.000000	NaN	NaN	NaN	NaN
THE1	0.043091	J1  	25.000000	0.000202	1.000000	2.000000	-2.000000	1.000000	0.000000	0.000000	-0.750000	77.000000	4.000000	NaN	NaN	-0.007560	-1.000000
J1  	0.043293	K1  	21.000000	0.001512	1.000000	2.000000	0.000000	-1.000000	0.000000	0.000000	-0.750000	81.000000	10.000000	NaN	NaN	-0.029640	-1.000000
2PO1	0.044375	--    	NaN	0.000000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.000000	2.000000	NaN	NaN
