#deldood1	deldood2	deldood3	phcorr	amprat	ilatfac	iconst
-1.000000	0.000000	0.000000	0.750000	0.036000	1.000000	8.000000
0.000000	-1.000000	0.000000	0.000000	0.190600	0.000000	8.000000
-2.000000	-2.000000	0.000000	0.500000	0.006300	0.000000	9.000000
-1.000000	-1.000000	0.000000	0.750000	0.024100	1.000000	9.000000
-1.000000	0.000000	0.000000	0.750000	0.060700	1.000000	9.000000
0.000000	-2.000000	0.000000	0.500000	0.006300	0.000000	9.000000
0.000000	-1.000000	0.000000	0.000000	0.188500	0.000000	9.000000
-1.000000	0.000000	0.000000	0.750000	0.009500	1.000000	10.000000
0.000000	-2.000000	0.000000	0.500000	0.006100	0.000000	10.000000
0.000000	-1.000000	0.000000	0.000000	0.188400	0.000000	10.000000
2.000000	0.000000	0.000000	0.500000	0.008700	0.000000	10.000000
-2.000000	-3.000000	0.000000	0.500000	0.000700	0.000000	11.000000
-2.000000	-2.000000	0.000000	0.500000	0.003900	0.000000	11.000000
-1.000000	-2.000000	0.000000	0.750000	0.001000	1.000000	11.000000
-1.000000	-1.000000	0.000000	0.750000	0.011500	1.000000	11.000000
-1.000000	0.000000	0.000000	0.750000	0.029200	1.000000	11.000000
0.000000	-2.000000	0.000000	0.500000	0.005700	0.000000	11.000000
-1.000000	0.000000	1.000000	0.000000	0.000800	0.000000	11.000000
0.000000	-1.000000	0.000000	0.000000	0.188400	0.000000	11.000000
1.000000	0.000000	0.000000	0.750000	0.001800	1.000000	11.000000
2.000000	0.000000	0.000000	0.500000	0.002800	0.000000	11.000000
0.000000	-2.000000	0.000000	0.500000	0.005800	0.000000	12.000000
0.000000	-1.000000	0.000000	0.000000	0.188200	0.000000	12.000000
1.000000	0.000000	0.000000	0.750000	0.013100	1.000000	12.000000
2.000000	0.000000	0.000000	0.500000	0.057600	0.000000	12.000000
2.000000	1.000000	0.000000	0.000000	0.017500	0.000000	12.000000
-1.000000	0.000000	0.000000	0.250000	0.000300	1.000000	13.000000
0.000000	-2.000000	0.000000	0.500000	0.005800	0.000000	13.000000
0.000000	-1.000000	0.000000	0.000000	0.188500	0.000000	13.000000
1.000000	-1.000000	0.000000	0.250000	0.000400	1.000000	13.000000
1.000000	0.000000	0.000000	0.750000	0.002900	1.000000	13.000000
1.000000	1.000000	0.000000	0.250000	0.000400	1.000000	13.000000
2.000000	0.000000	0.000000	0.500000	0.006400	0.000000	13.000000
2.000000	1.000000	0.000000	0.500000	0.001000	0.000000	13.000000
-2.000000	0.000000	0.000000	0.000000	0.044600	0.000000	14.000000
-1.000000	0.000000	0.000000	0.250000	0.042600	1.000000	14.000000
0.000000	-1.000000	0.000000	0.500000	0.028400	0.000000	14.000000
0.000000	1.000000	0.000000	0.500000	0.217000	0.000000	14.000000
0.000000	2.000000	0.000000	0.500000	0.014200	0.000000	14.000000
0.000000	-1.000000	0.000000	0.000000	0.226600	0.000000	15.000000
-2.000000	-2.000000	0.000000	0.500000	0.005700	0.000000	16.000000
